Series Name,"Series Code","Country Name","Country Code","2002 [YR2002]"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Afghanistan","AFG",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Albania","ALB",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Algeria","DZA","0.366400003433228"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","American Samoa","ASM",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Andorra","AND",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Angola","AGO",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Antigua and Barbuda","ATG",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Argentina","ARG","0.388859987258911"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Armenia","ARM","0.252550005912781"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Aruba","ABW",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Australia","AUS","1.74749004840851"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Austria","AUT","2.06597995758057"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Azerbaijan","AZE","0.301550000905991"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bahamas, The","BHS",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bahrain","BHR",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bangladesh","BGD",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Barbados","BRB",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Belarus","BLR","0.620899975299835"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Belgium","BEL","1.90324997901917"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Belize","BLZ",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Benin","BEN",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bermuda","BMU",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bhutan","BTN",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bolivia","BOL","0.276630014181137"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bosnia and Herzegovina","BIH",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Botswana","BWA",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Brazil","BRA","1.0096800327301"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","British Virgin Islands","VGB",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Brunei Darussalam","BRN","0.0159200001507998"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Bulgaria","BGR","0.464729994535446"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Burkina Faso","BFA","0.301109999418259"
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Burundi","BDI",".."
Research and development expenditure (% of GDP),"GB.XPD.RSDV.GD.ZS","Cabo Verde","CPV",".."
